Dates,Spot,Future,Risk Free,Cost of Carry,Deviation,Roll's Spread,Volatility($)
5/15/2001,268.4,268.5,5.5,272.1159889,3.615988878,0.306,0.016323178
5/16/2001,272.2,272.4,5.48,275.9548017,3.554801663,0.013,0.018502611
5/17/2001,273.55,274,5.46,277.3095581,3.30955811,1.93,0.018591718
5/18/2001,286.35,287.8,5.41,290.2491926,2.449192602,3.621,0.046832166
5/21/2001,285.65,285.8,5.41,289.5396608,3.739660788,13.076,0.053004452
5/22/2001,285.25,285.5,5.42,289.1414425,3.641442483,10.61,0.031315175
5/23/2001,283.75,284,5.41,287.6137887,3.613788723,4.896,0.034095951
5/24/2001,279.25,279.4,5.52,283.1303629,3.730362923,0.56,0.040435969
5/25/2001,277.9,278.2,5.52,281.7616038,3.561603783,2.325,0.039031034
5/29/2001,273.9,273.9,5.54,277.7199068,3.819906793,3.741,0.035114446
5/30/2001,266.1,267.4,5.54,269.8111252,2.411125219,1.881,0.046203592
5/31/2001,266.05,266.9,5.43,269.686254,2.786253983,4.205,0.04640984
6/1/2001,267,268,5.39,270.6221746,2.622174593,4.213,0.037054039
6/4/2001,265.55,266.5,5.35,269.1255897,2.625589703,1.2,0.037192175
6/5/2001,266.35,267.1,5.29,269.8958742,2.795874162,2.466,0.037955037
6/6/2001,266.25,267,5.27,269.7810535,2.781053488,2.255,0.035681276
6/7/2001,266.35,267.3,5.33,269.9228651,2.622865099,1.203,0.033227654
6/8/2001,273.5,274.5,5.38,277.2034247,2.703424701,0.048,0.042660768
6/11/2001,268,268.9,5.32,271.5882087,2.688208695,9.26,0.04845333
6/12/2001,271.85,272.6,5.27,275.4553217,2.855321655,11.157,0.044756723
6/13/2001,272.65,273.1,5.28,276.2728381,3.172838128,10.651,0.041011723
6/14/2001,275.75,276.4,5.26,279.400059,3.00005904,5.238,0.042015587
6/15/2001,271.15,272.3,5.27,274.7460381,2.446038134,4.308,0.044990961
6/18/2001,273.05,273.4,5.27,276.6712363,3.271236263,5.72,0.043368259
6/19/2001,273.65,274.4,5.26,277.2722617,2.872261673,5.786,0.039139489
6/20/2001,272.65,273.4,5.24,276.2452122,2.845212226,2.712,0.038159315
6/21/2001,272.85,273.6,5.22,276.4340274,2.834027415,0.589,0.037395837
6/22/2001,272.6,273.3,5.14,276.1255129,2.825512909,1.541,0.035434877
6/25/2001,274,274.7,5.16,277.5574965,2.857496519,0.638,0.034193426
6/26/2001,276.25,277,5.24,279.8926825,2.892682477,0.633,0.034202161
6/27/2001,272.25,272.8,5.26,275.8537301,3.053730095,3.548,0.035448035
6/28/2001,269.35,270,5.35,272.9767561,2.976756116,2.268,0.03546643
6/29/2001,270.85,271.3,5.42,274.5449946,3.244994554,4.576,0.033128273
7/2/2001,269.35,270.1,5.37,272.9904053,2.890405295,0.715,0.031623409
7/3/2001,267.95,268.3,5.41,271.5986421,3.298642073,3.023,0.031120901
7/5/2001,265.35,265.8,5.44,268.9834112,3.183411193,0.992,0.030885928
7/6/2001,266.25,266.6,5.41,269.8754934,3.275493383,1.874,0.029815929
7/9/2001,266.65,267,5.37,270.2539134,3.253913391,0.652,0.027922121
7/10/2001,266.35,266.7,5.32,269.9161171,3.216117111,1.679,0.027047647
7/11/2001,268.75,268.8,5.31,272.3414417,3.541441702,1.476,0.027419171
7/12/2001,266.85,267.1,5.27,270.3890108,3.289010792,2.964,0.027086472
7/13/2001,267.35,267.6,5.27,270.8956419,3.295641878,3.187,0.025548288
7/16/2001,267.15,267.4,5.21,270.6523885,3.25238854,2.864,0.024272496
7/17/2001,268.45,268.6,5.22,271.9762311,3.376231114,0.99,0.024003994
7/18/2001,270.75,270.8,5.12,274.2378748,3.437874778,0.35,0.024360534
7/19/2001,269.45,269.7,5.13,272.9279509,3.227950939,2.224,0.023634807
7/20/2001,270.15,270.2,5.15,273.6506684,3.450668446,1.764,0.022385173
7/23/2001,268.85,269.1,5.13,272.3202064,3.220206383,2.286,0.02180579
7/24/2001,269.75,270,5.13,273.2318232,3.231823217,1.96,0.021439298
7/25/2001,267.95,267.8,5.2,271.4560902,3.656090209,2.561,0.020982004
7/26/2001,266.65,266.3,5.19,270.1323265,3.832326489,1.954,0.020562292
7/27/2001,267.85,270.2,5.13,271.3072988,1.10729879,2.947,0.019892679
7/30/2001,265.25,267.6,5.11,268.6603057,1.060305697,5.035,0.020290143
7/31/2001,266.85,269.2,5.07,270.2538501,1.053850079,6.318,0.020438984
8/1/2001,267.55,270.3,5.11,270.9898767,0.68987668,5.027,0.019106409
8/2/2001,267.75,270.3,5.17,271.23313,0.933129988,2.232,0.018350513
8/3/2001,268.45,270.8,5.2,271.9626326,1.162632643,0.16,0.01805927
8/6/2001,267.75,269.9,5.19,271.246692,1.346691984,0.688,0.017580401
8/7/2001,267.65,269.9,5.2,271.1521647,1.252164749,1.003,0.016864866
8/8/2001,268.35,270.7,4.99,271.7186344,1.01863442,0.963,0.016369649
8/9/2001,273.55,276.2,5.04,277.0185359,0.818535887,2.305,0.021113669
8/10/2001,274.25,276.8,4.99,277.6926979,0.892697931,3.685,0.021763631
8/13/2001,276.05,278.6,4.97,279.5013182,0.901318163,4.334,0.018343428
8/14/2001,276.45,279.1,4.97,279.9063192,0.806319167,2.171,0.018527367
8/15/2001,276.05,278.4,5,279.5222815,1.122281548,0.042,0.018371188
8/16/2001,275.35,277.9,4.95,278.7786271,0.878627125,0.637,0.017774014
8/17/2001,279.25,282,4.84,282.6494502,0.649450198,1.657,0.019719964
8/20/2001,276.15,278.6,4.91,279.5606312,0.960631174,5.627,0.021462965
8/21/2001,275.05,277.4,4.87,278.4192021,1.01920215,4.874,0.019672337
8/22/2001,274.55,277.3,4.91,277.9408701,0.640870139,4.588,0.018189358
8/23/2001,275.55,277.7,4.89,278.9392735,1.239273473,1.375,0.018256543
8/24/2001,272.85,274.9,4.93,276.2336854,1.333685378,1.892,0.01916312
8/27/2001,272.85,274.9,4.94,276.2405913,1.340591306,2.514,0.018563619
8/28/2001,272.25,274.4,4.85,275.5711249,1.171124882,2.742,0.016993212
8/29/2001,273.75,275.8,4.78,277.0409367,1.240936684,0.145,0.017223521
8/30/2001,275.25,277.5,4.79,278.5659333,1.065933275,0.45,0.017395653
8/31/2001,274.45,276.5,4.85,277.7979623,1.297962254,1.918,0.016692734
9/4/2001,272.15,273.7,4.99,275.5663363,1.866336342,2.475,0.016795506
9/5/2001,272,274.1,4.97,275.400683,1.300682993,2.191,0.016613303
9/6/2001,272.9,275,4.86,276.2359599,1.235959918,0.17,0.01564009
9/7/2001,273.15,275.1,4.8,276.4475457,1.347545704,0.015,0.015295407
9/10/2001,271.75,273.7,4.84,275.0581489,1.358148939,0.248,0.015209895
9/17/2001,289.95,291.5,4.63,293.3256703,1.825670252,6.748,0.076314284
9/18/2001,288,289.7,4.72,291.4185297,1.718529659,16.577,0.08891745
9/19/2001,290.65,292.3,4.69,294.0779282,1.777928208,17.445,0.046341273
9/20/2001,288.65,289.8,4.75,292.0981516,2.29815163,8.085,0.052626369
9/21/2001,291.7,292.9,4.7,295.1476905,2.247690515,5.851,0.061670106
9/24/2001,289.5,290.9,4.73,292.943658,2.043658001,6.157,0.058051596
9/25/2001,289.75,291.8,4.72,293.189302,1.389301974,5.444,0.049694023
9/26/2001,293,294.8,4.65,296.426,1.626000043,3.624,0.051845117
9/27/2001,291.8,293.2,4.58,295.1603111,1.960311069,3.273,0.051568077
9/28/2001,292.95,294,4.6,296.3383708,2.338370789,3.183,0.048000722
10/1/2001,291.95,293.5,4.55,295.2898909,1.789890867,3.325,0.045399146
10/2/2001,289.7,290.9,4.53,292.9995007,2.099500658,1.659,0.044777133
10/3/2001,289.7,291,4.5,292.9775265,1.977526519,1.822,0.043150095
10/4/2001,290.1,291.6,4.53,293.4040564,1.804056406,1.265,0.040512423
10/5/2001,291.25,292.5,4.52,294.5597901,2.059790095,0.677,0.039314477
10/9/2001,288.25,289.7,4.62,291.5985884,1.898588372,0.959,0.039232478
10/10/2001,285.1,286.7,4.61,288.4047847,1.704784742,2.453,0.039277914
10/11/2001,281.5,282.6,4.69,284.820013,2.220013041,1.273,0.038875221
10/12/2001,284.7,285.7,4.68,288.0505525,2.350552511,2.724,0.039124973
10/15/2001,281.55,282.7,4.62,284.8207547,2.120754748,5.485,0.038297768
10/16/2001,281.45,282.9,4.59,284.6982399,1.798239884,6.665,0.036580721
10/17/2001,282.55,284,4.59,285.8109351,1.810935083,4.361,0.034570999
10/18/2001,279.57,279.8,4.58,282.7894728,2.989472808,3.645,0.034898345
10/19/2001,279.77,280.7,4.63,283.0271522,2.327152152,4.54,0.03396946
10/22/2001,275.6,276.1,4.63,278.808604,2.708603971,6.055,0.034175649
10/23/2001,275.95,276.5,4.66,279.1836167,2.683616745,6.075,0.033867909
10/24/2001,275.5,276.3,4.61,278.6935047,2.393504723,4.669,0.030645818
10/25/2001,277.25,278.2,4.56,280.4287344,2.22873436,0.39,0.030502369
10/26/2001,277.4,278.3,4.53,280.5594114,2.259411399,1.749,0.029771383
10/29/2001,278.9,279.7,4.5,282.0553405,2.355340511,2.045,0.028762526
10/30/2001,280.35,281.2,4.44,283.47922,2.279220042,1.393,0.028035994
10/31/2001,279.65,280.5,4.3,282.6724541,2.172454084,1.421,0.027022754
11/1/2001,279.95,280.7,4.24,282.9332533,2.233253309,0.088,0.0259014
11/2/2001,279.95,280.8,4.37,283.0252216,2.225221561,1.44,0.02488022
11/5/2001,278.85,279.5,4.31,281.8708544,2.370854376,0.876,0.024151112
11/6/2001,279.9,280.2,4.3,282.9251561,2.725156081,1.541,0.023582675
11/7/2001,280.45,281.3,4.22,283.4244099,2.124409924,0.611,0.022650494
11/8/2001,277.65,277.1,4.32,280.664871,3.564870999,2.953,0.023027696
11/9/2001,277.45,277.7,4.34,280.4767228,2.776722778,4.091,0.022625602
11/13/2001,277.75,278,4.41,280.8291363,2.8291363,1.849,0.020860681
11/14/2001,277.35,278,4.54,280.5158547,2.51585474,0.424,0.020300039
11/15/2001,275.15,275.3,4.79,278.4647286,3.164728576,0.648,0.020615176
11/16/2001,274.85,274.9,4.91,278.2445753,3.344575333,2.159,0.020092953
11/19/2001,273,272.9,4.8,276.2957349,3.39573486,2.604,0.019196457
11/20/2001,273.3,273.2,4.88,276.654682,3.454681951,2.14,0.018911438
11/21/2001,273.35,273.1,4.98,276.7744807,3.674480659,1.476,0.017991828
11/26/2001,273.15,272.5,5.05,276.6203794,4.120379425,1.273,0.017437611
11/27/2001,273.65,273.4,4.98,277.078239,3.678239006,0.983,0.01694298
11/28/2001,274.35,274.1,4.98,277.7870085,3.687008483,0.042,0.016533573
11/29/2001,274.05,274.7,4.79,277.3514769,2.65147689,0.668,0.015971965
11/30/2001,274.4,274.9,4.78,277.6987508,2.79875078,0.035,0.015480578
12/3/2001,277.55,277.9,4.75,280.8655534,2.965553386,1.233,0.016892591
12/4/2001,275.75,276.3,4.7,279.0091726,2.709172642,3.495,0.017347984
12/5/2001,274.15,274.6,4.92,277.5428684,2.942868365,1.625,0.016228241
12/6/2001,274.55,275,5.04,278.0312156,3.031215602,2.47,0.015686777
12/7/2001,274.55,274.7,5.2,278.1424503,3.442450334,0.187,0.01521525
12/10/2001,272.75,273,5.17,276.2981744,3.298174432,1.512,0.015418273
12/11/2001,272.75,272.9,5.13,276.270546,3.370545996,1.058,0.015035273
12/12/2001,274.25,274.5,5.02,277.7135257,3.213525664,0.19,0.01458908
12/13/2001,274.25,274.6,5.13,277.7899074,3.189907386,0.138,0.014351359
12/14/2001,278.45,278.6,5.24,282.1216921,3.521692075,2.298,0.017100695
12/17/2001,277.85,278.3,5.26,281.5278564,3.227856407,3.965,0.017446556
12/18/2001,280.35,280.9,5.16,283.9899422,3.08994215,4.373,0.016012632
12/19/2001,275.95,276,5.08,279.4769135,3.476913496,4.303,0.019510482
12/20/2001,276.15,276.5,5.08,279.6794697,3.179469694,5.921,0.019609362
12/21/2001,278.15,278.3,5.12,281.7332036,3.43320358,5.63,0.017379496
12/26/2001,279.25,279.6,5.22,282.9180948,3.318094761,1.955,0.017612257
12/27/2001,277.05,277.7,5.13,280.6260486,2.926048646,1.158,0.01811095
12/28/2001,276.55,276.8,5.15,280.1336012,3.33360118,1.09,0.017632319
12/31/2001,278.95,279,5.07,282.5081937,3.508193665,2.466,0.017366874
1/2/2002,278.85,279.2,5.2,282.4987153,3.298715263,0.235,0.017290886
1/3/2002,278.45,278.5,5.16,282.0652734,3.565273379,2.249,0.016274504
1/4/2002,278.95,279.2,5.18,282.5858941,3.385894102,0.779,0.015903341
1/7/2002,278.75,278.9,5.09,282.3197582,3.419758167,1.281,0.015450277
1/8/2002,279.05,279.2,5.1,282.6306657,3.430665737,1.2,0.015024737
1/9/2002,283.35,283.7,5.1,286.9858417,3.285841737,0,0.017919016
1/10/2002,286.75,287.4,5,290.356871,2.956870979,2.58,0.020368418
1/11/2002,287.55,287.7,4.92,291.1087062,3.408706177,3.154,0.018166598
1/14/2002,285.35,285.7,4.91,288.8742571,3.174257127,5.747,0.01749574
1/15/2002,284.55,284.7,4.88,288.0427726,3.342772591,2.155,0.017965496
1/16/2002,287.55,287.6,4.88,291.0795968,3.479596762,1.783,0.018721939
1/17/2002,284.45,284.7,4.98,288.0135395,3.313539504,4.323,0.019781707
1/18/2002,283.55,283.4,4.94,287.0735557,3.673555671,3.993,0.018816144
1/22/2002,281.8,281.8,4.96,285.3160746,3.51607461,3.185,0.017854786
1/23/2002,279.25,278.9,5.05,282.7978801,3.897880118,1.203,0.018773334
1/24/2002,278.8,278.4,5.07,282.3562803,3.956280315,1.73,0.018335037
1/25/2002,279.45,279.1,5.1,283.0357984,3.935798388,0.62,0.016965992
1/28/2002,279.05,278.5,5.12,282.6447976,4.144797624,0.16,0.016585668
1/29/2002,281.85,281.4,5.02,285.4095067,4.009506685,2.054,0.017772989
1/30/2002,282.05,282.9,5.02,285.6120325,2.712032502,1.794,0.017486623
1/31/2002,282.35,282.9,5.07,285.9515629,3.051562938,2.434,0.015954645
2/1/2002,286.25,286.8,5.02,289.8650746,3.065074645,2.672,0.018486487
2/4/2002,289.65,290.1,4.94,293.2493578,3.149357786,0.424,0.020945326
2/5/2002,297.75,299.1,4.92,301.4349409,2.334940929,1.845,0.030549052
2/6/2002,296.9,298.3,4.92,300.5744214,2.274421366,7.312,0.031299317
2/7/2002,300.3,300.6,4.93,304.0241001,3.424100124,6.259,0.025545082
2/8/2002,304,304.4,4.9,307.7469029,3.346902925,6.14,0.029248332
2/11/2002,299.7,300.8,4.91,303.4014889,2.601488911,4.732,0.031747874
2/12/2002,300.5,301.3,4.97,304.2570046,2.957004557,3.827,0.029991705
2/13/2002,299.5,300,5.01,303.274828,3.274828012,5.496,0.026542512
2/14/2002,300.3,300.2,4.95,304.0393017,3.83930171,2.68,0.026848687
2/15/2002,298.1,298.9,4.86,301.7440075,2.844007518,1.817,0.0268838
2/19/2002,293.25,293.6,4.88,296.8495627,3.249562686,0.625,0.029450434
2/20/2002,291.7,292.6,4.88,295.2805369,2.680536864,2.927,0.028937431
2/21/2002,293,293.5,4.88,296.596494,3.096494005,2.186,0.025900646
2/22/2002,293,293.5,4.84,296.5668358,3.066835839,2.11,0.025375551
2/25/2002,292.7,292.9,4.86,296.2779973,3.377997318,1.334,0.024893828
2/26/2002,297.75,298.2,4.93,301.4424769,3.242476897,2.702,0.02852291
2/27/2002,296.4,296.6,4.84,300.0082257,3.408225742,5.747,0.028495479
2/28/2002,296.95,297.1,4.88,300.5949792,3.494979163,5.797,0.024891382
3/1/2002,298.15,298.4,4.98,301.8851707,3.485170691,4.221,0.024665032
3/4/2002,296.85,297.1,5.02,300.5989429,3.498942911,1.936,0.024695558
3/5/2002,294.07,294.4,5.02,297.7838341,3.383834064,1.46,0.024834926
3/6/2002,293.35,293.9,5.06,297.0844481,3.184448085,1.327,0.023810296
3/7/2002,290.25,290.5,5.22,294.0625855,3.562585513,2.585,0.023753305
3/8/2002,289.75,290.3,5.33,293.6367568,3.336756757,3.253,0.023605503
3/11/2002,290.8,291.3,5.33,294.7008416,3.40084164,1.657,0.021999306
3/12/2002,294.05,293.8,5.32,297.9869879,4.186987935,2.92,0.023334933
3/13/2002,293.55,293.8,5.28,297.450547,3.650546974,1.761,0.023077003
3/14/2002,291.15,291.2,5.4,295.1071758,3.907175837,1.308,0.022036056
3/15/2002,290.05,290.1,5.35,293.9554784,3.855478416,1.368,0.021768646
3/18/2002,292.45,292.5,5.32,296.3655658,3.865565794,1.663,0.021769261
3/19/2002,293,293,5.33,296.9303528,3.930352821,1.1,0.021283543
3/20/2002,292.45,292.4,5.4,296.4248448,4.024844835,2.498,0.020007034
3/21/2002,293.15,293.1,5.39,297.1269306,4.026930644,0.01,0.019613066
3/22/2002,297.75,297.6,5.4,301.79688,4.196879978,0.755,0.022789846
3/25/2002,298.25,297.7,5.41,302.3112334,4.611233433,3.145,0.022930209
3/26/2002,296.65,296.8,5.35,300.6443464,3.844346396,2.46,0.020102481
3/27/2002,302.15,302.2,5.35,306.218403,4.018403046,4.511,0.025342052
3/28/2002,302.65,303.7,5.42,306.7788171,3.078817064,3.479,0.02605255
4/1/2002,303.35,304.2,5.44,307.5037414,3.303741419,4.65,0.021851723
4/2/2002,305.85,307,5.36,309.9759723,2.975972276,1.783,0.0226339
4/3/2002,302.75,303.5,5.3,306.788131,3.28813104,3.829,0.024429852
4/4/2002,301,302,5.28,304.9995389,2.999538883,2.568,0.023699083
4/5/2002,300.05,301,5.22,303.9913136,2.991313637,3.86,0.02166426
4/8/2002,300.35,301.3,5.25,304.3180773,3.018077294,1.025,0.02114344
4/9/2002,298.55,299.5,5.22,302.4716104,2.971610353,1.532,0.021196783
4/10/2002,301.75,302.5,5.24,305.7289301,3.22893009,3.159,0.022393501
4/11/2002,302.6,303,5.22,306.5748092,3.57480922,3.253,0.021645667
4/12/2002,302.15,302.9,5.18,306.0882879,3.188287876,3.428,0.01999481
4/15/2002,299.85,300.7,5.15,303.7355282,3.035528164,1.855,0.020418738
4/16/2002,298.25,299.5,5.2,302.1525617,2.65256169,0.355,0.020549528
4/17/2002,302.05,302.8,5.24,306.0328859,3.232885945,1.56,0.021810983
4/18/2002,303.65,305.2,5.23,307.6462926,2.446292581,3.375,0.021861946
4/19/2002,302.35,303,5.21,306.3138674,3.313867397,3.625,0.020164366
4/22/2002,302.9,303.6,5.19,306.8557348,3.255734834,0.193,0.019766372
4/23/2002,303.65,304.6,5.18,307.6078392,3.007839197,3.418,0.019321546
4/24/2002,304.05,304.8,5.11,307.9591553,3.159155315,0.566,0.018753719
4/25/2002,307.65,308.6,5.1,311.5976503,2.997650292,1.697,0.020229892
4/26/2002,311.35,312.1,5.08,315.3293605,3.229360453,0.88,0.022509461
4/29/2002,311.05,311.5,5.13,315.0649068,3.564906809,3.095,0.020947492
4/30/2002,308.35,309.2,5.11,312.3144402,3.114440195,5.62,0.020179988
5/1/2002,308.75,309.4,5.08,312.6961299,3.296129886,1.131,0.020452457
5/2/2002,307.85,308.6,5.13,311.8236025,3.223602511,1.924,0.019329864
5/3/2002,311.95,312.5,5.08,315.937029,3.437029046,1.049,0.02152889
5/6/2002,312.7,311.5,5.1,316.71245,5.212450013,4.357,0.02160175
5/7/2002,311.45,311.9,5.09,315.4385244,3.538524416,4.411,0.019448891
5/8/2002,308.2,308.5,5.24,312.263981,3.763980957,1.587,0.0207206
5/9/2002,309.6,309.8,5.2,313.6510749,3.851074935,4.11,0.021106042
5/10/2002,311.05,311.3,5.15,315.0806604,3.780660448,2.888,0.019627293
5/13/2002,310.8,310.9,5.23,314.8903927,3.990392669,2.276,0.018943754
5/14/2002,307.65,307.6,5.32,311.7690761,4.169076138,2.215,0.020054018
5/15/2002,309.05,309,5.28,313.1565033,4.156503295,3.343,0.020264741
5/16/2002,309.9,310.1,5.2,313.9550004,3.855000395,2.179,0.018525505
5/17/2002,311,310.9,5.27,315.1245357,4.224535718,1.625,0.01824789
5/20/2002,315.75,316,5.21,319.889544,3.889544007,1.549,0.021762316
5/21/2002,316.15,316.1,5.18,320.2707669,4.170766877,4.13,0.021899553
5/22/2002,317.9,318.3,5.13,322.0033238,3.703323821,4.47,0.019199574
5/23/2002,322.12,322.8,5.16,326.3022656,3.502265616,3.505,0.02216007
5/24/2002,320.6,320.7,5.16,324.7625306,4.062530599,4.417,0.022741239
5/28/2002,324.35,324.1,5.16,328.561219,4.461218963,5.583,0.022537469
5/29/2002,325.15,325.5,5.11,329.3304369,3.830436937,5.84,0.02227132
5/30/2002,325,326.7,5.06,329.1373637,2.437363653,3.493,0.020762931
5/31/2002,326.55,327.5,5.08,330.7236315,3.223631463,0.3,0.020757114
6/3/2002,328.1,327.7,5.06,332.2768277,4.576827737,0.153,0.020636153
6/4/2002,324.25,328.8,5.04,328.3613974,0.43860259,0.632,0.021984438
6/5/2002,321.4,322.1,5.08,325.5078094,3.407809377,2.534,0.022770631
6/6/2002,325.35,325.8,5.04,329.4753451,3.675345096,8.41,0.023469113
6/7/2002,324,325.4,5.1,328.1574474,2.757447407,8.461,0.022952135
6/10/2002,319.05,319.5,5.07,323.119696,3.619695963,7.329,0.024833623
6/11/2002,321.2,320.5,5.02,325.2564611,4.756461051,4.385,0.026051266
6/12/2002,319.25,321.1,4.98,323.2495078,2.149507775,4.591,0.023324078
